DBAASP_id,strain_name,SMILES,MIC
ce_50,#004,"[1, 158, 163, 163, 163, 15, 163, 165, 163, 114, 163, 171, 158, 163, 163, 163, 15, 163, 158, 163, 145, 70, 15, 165, 163, 165, 163, 15, 70, 163, 158, 163, 15, 163, 165, 163, 15, 163, 165, 163, 70, 117, 165, 163, 15, 163, 165, 163, 51, 70, 51, 165, 163, 165, 163, 15, 70, 163, 165, 163, 15, 163, 165, 163, 15, 163, 158, 163, 70, 117, 165, 2472, 2]",1
ce_51,#004,"[1, 163, 163, 145, 70, 25, 158, 163, 163, 163, 163, 77, 163, 77, 163, 15, 17, 163, 15, 163, 36, 15, 163, 36, 36, 77, 70, 117, 163, 77, 163, 77, 163, 77, 163, 77, 163, 77, 70, 117, 70, 114, 1736, 2]",1
ce_52,#004,"[1, 163, 163, 163, 165, 163, 145, 117, 163, 165, 163, 15, 145, 163, 77, 155, 163, 106, 70, 15, 163, 145, 51, 117, 158, 163, 114, 163, 171, 163, 106, 163, 145, 70, 15, 163, 15, 25, 163, 163, 15, 163, 158, 171, 158, 163, 163, 15, 163, 158, 163, 15, 163, 158, 171, 106, 163, 15, 163, 158, 77, 51, 70, 70, 163, 163, 114, 163, 171, 158, 163, 15, 163, 163, 163, 15, 163, 165, 163, 15, 163, 163, 163, 114, 163, 171, 158, 163, 145, 51, 165, 163, 114, 163, 171, 158, 163, 163, 163, 106, 163, 145, 70, 17, 163, 106, 163, 15, 108, 163, 114, 163, 171, 158, 163, 163, 163, 163, 158, 163, 114, 163, 106, 158, 77, 108, 70, 108, 77, 108, 51, 70, 15, 163, 15, 163, 163, 165, 163, 145, 70, 117, 165, 163, 165, 163, 15, 70, 163, 165, 163, 15, 163, 165, 163, 15, 25, 165, 163, 15, 163, 158, 171, 163, 70, 106, 165, 163, 15, 163, 163, 163, 51, 25, 118, 163, 2472, 59, 114, 163, 171, 15, 163, 165, 165, 2472, 59, 114, 163, 171, 15, 163, 165, 165, 2]",1
ce_53,#004,"[1, 163, 163, 15, 163, 163, 15, 163, 163, 163, 163, 15, 163, 163, 15, 163, 163, 163, 77, 163, 77, 145, 70, 25, 165, 163, 163, 165, 163, 163, 89, 15, 163, 163, 15, 163, 163, 163, 163, 77, 163, 77, 163, 77, 70, 114, 163, 77, 51, 70, 114, 570, 2]",1
ce_54,#004,"[1, 158, 163, 114, 163, 171, 158, 158, 77, 163, 77, 163, 77, 15, 114, 89, 114, 163, 171, 113, 165, 70, 145, 2]",1
ce_55,#004,"[1, 163, 158, 163, 163, 158, 145, 51, 163, 163, 77, 15, 163, 36, 163, 77, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 163, 70, 117, 77, 70, 118, 165, 163, 158, 70, 114, 163, 163, 163, 51, 70, 17, 2]",1
ce_56,#004,"[1, 163, 163, 163, 15, 163, 163, 163, 158, 163, 114, 163, 171, 163, 15, 51, 163, 163, 158, 158, 163, 114, 163, 171, 163, 145, 15, 70, 158, 163, 114, 163, 171, 163, 15, 51, 163, 163, 158, 158, 163, 114, 163, 171, 163, 145, 70, 117, 158, 163, 114, 163, 171, 163, 15, 51, 163, 163, 158, 158, 163, 114, 163, 171, 163, 163, 163, 163, 163, 15, 163, 163, 163, 163, 15, 163, 163, 165, 163, 163, 158, 163, 114, 163, 171, 163, 15, 114, 163, 15, 163, 163, 165, 158, 163, 114, 163, 171, 163, 15, 51, 163, 163, 158, 158, 163, 114, 163, 171, 163, 15, 51, 163, 163, 158, 158, 163, 114, 163, 171, 163, 15, 25, 163, 15, 163, 163, 163, 163, 158, 163, 51, 114, 158, 171, 2472, 59, 114, 163, 171, 15, 163, 165, 165, 2472, 59, 114, 163, 171, 15, 163, 165, 165, 2]",1
ce_57,#004,"[1, 165, 100, 15, 163, 113, 163, 15, 163, 112, 15, 70, 163, 165, 163, 165, 2]",1
ce_58,#004,"[1, 163, 163, 163, 165, 163, 77, 15, 17, 163, 15, 163, 158, 163, 163, 70, 51, 163, 15, 163, 36, 77, 163, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 51, 70, 15, 163, 51, 70, 70, 40, 117, 1840, 108, 114, 163, 171, 114, 163, 171, 165, 2]",1
ce_59,#004,"[1, 163, 158, 163, 163, 158, 145, 51, 25, 163, 77, 163, 77, 15, 114, 163, 77, 70, 114, 36, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 70, 106, 163, 77, 163, 77, 15, 163, 36, 163, 77, 70, 25, 163, 163, 51, 70, 158, 1736, 2]",1
